item_id_A,item_id_B
2385527,2130732
1942460,103507
1925969,954083
1925974,954080
599598,100533
599672,95601
283706,98021
599871,95562
284811,1086250
1915877,958662
1917516,97285
283227,104145
1944313,1089049
1939833,102962
283178,952762
1917481,98578
379088,97059
2194586,105566
2273232,2683959
584460,1090320
600176,93626
2791149,105144
1935316,114861
365890,948957
2064520,2012190
1932360,1091268
1932268,109866
1941782,114541
1918568,98669
2201362,97125
599708,109866
283476,950344
1935318,113874
284478,950344
600298,108534
600454,110793
2080130,949236
2759012,2684893
2055947,95486
1917570,102544
2071025,1087813
1942007,102643
1941870,97415
1942003,103388
1941200,951810
2112479,1855958
2077125,1083198
2055724,105902
1950703,96686
2267193,111505
1916843,1088532
284106,105472
366946,104090
1912834,103510
1935322,113908
1946801,93766
1946577,100492
283322,96447
2790831,948922
2084713,109919
1932261,109866
2194676,100987
373515,98249
2793517,99852
2067212,104957
2102810,102142
2273790,2159263
2068041,105406
1943147,91619
2052496,104735
2386946,100389
2052635,101414
2393239,2146615
2387060,102714
1923801,952465
1923771,952465
379324,1089611
2052520,952728
2071148,100389
1916434,952305
2052521,952988
2111280,1090429
2053773,95797
379173,952767
1939593,105631
1923235,104149
1933502,952997
599617,91831
2114597,1090228
1921515,953768
1925107,100320
283107,93144
2051523,104240
2055160,91984
2088518,94674
2749299,2685982
2068142,954003
2082783,97737
2267432,1888795
1918569,98669
2202775,98210
2065802,103222
2077176,95000
2082786,105309
1920192,1089505
1938525,98862
1913073,98696
283927,95933
283143,96081
2050870,106123
2068605,93852
284856,96514
2068154,93247
2065273,1090839
2387619,94424
2070331,92437
2067301,1084145
2052424,955202
2052250,1083219
1940083,91583
2386176,106701
584470,1090317
2773289,1088933
2383379,1088584
284297,113908
1915637,95173
2060044,100444
1915879,91422
2067720,102526
2082002,93719
2088913,102082
1923454,104923
2081822,102602
283461,112163
2082166,1090346
2757060,2682256
2088924,952823
2065772,98048
2087423,101381
1939938,949689
1944942,99589
1922251,95070
2086572,2028222
2080636,108398
2126969,108294
1938160,98789
2199583,101811
2079980,950453
2197683,2030594
2385272,113118
2068252,106000
2052432,952988
1916826,106736
2067036,91515
1941755,951780
1920193,103319
2385278,106599
373288,104331
2110321,99589
2052483,2008259
2056814,1894603
1942014,104560
2056228,1086275
2257741,1883969
2257798,1883969
1935071,953315
2060392,1083334
2258211,98269
2258440,94841
2258638,1087445
1924450,100383
1919101,97706
2678957,103986
2386883,105283
1937530,1091941
1919106,1087808
2258300,1090433
2273663,950837
2199257,102034
2387089,1087802
1943143,93778
2380734,96740
2115164,98032
2773319,97998
1937543,1091942
1916352,102661
2199629,93801
379344,100324
584339,99204
2068162,94817
1947614,1083235
283794,952514
1952054,104695
284253,104407
1932186,93685
1933538,93936
1922218,94847
1920851,96503
1922256,94851
1916030,92712
2070407,104321
1932293,1088610
1938192,104195
1943123,2018603
1948029,93525
2772774,951153
2682850,99734
2195882,104350
2086303,108389
1935105,98989
2386776,105119
2678614,1086579
1947690,100034
2678715,103608
2068737,104957
1933544,93933
1916333,952017
362222,2683895
1942282,102647
2052938,1090767
1924492,91371
1945497,100894
2075791,2144444
2060548,100419
1916346,105053
1943456,103885
284973,100443
2060053,97312
2199661,104647
2252001,952423
2121085,105065
2078867,99345
2087420,96709
1939894,1100468
1916321,101699
1947713,96339
2052610,102056
2387748,98032
1949766,101021
2380527,1088667
1919316,1090621
2065994,952003
2203108,957284
1922193,93570
1935171,1088569
2063905,106355
1925582,95753
1925168,102922
1937862,1088803
2103960,107175
2065811,1090330
2258135,1089602
2197682,1163200
2678662,96839
2773192,103723
1932517,114238
1914567,952767
1932434,96649
1912714,101072
2273791,2683740
2202898,2682254
2773248,105096
2267631,97620
1916079,951187
1916439,2139832
1939892,2045339
2070563,1092154
2069930,100569
1946799,93992
2267093,107196
2258134,2683615
2060119,98769
1947714,1094404
2052265,1089438
1918433,99338
1948050,93489
1925042,100006
1924942,952830
1923973,952027
2245901,952423
2060370,105716
1912814,103504
2385491,106617
284380,103110
283035,96183
373481,951928
2683091,2146613
284429,104820
1931989,100269
374679,101415
363103,100477
2794167,98490
2794171,97701
363492,104695
283332,103642
283228,958511
1942024,100651
365443,952266
2749274,105781
2749276,97618
599940,100417
600125,103200
284977,1091460
2051287,951746
366791,92553
1952034,953055
1920345,952152
2258242,102152
1925970,954083
283130,98479
2060207,951685
1940220,92093
1922201,94106
284387,99749
1942790,93764
2774589,1089019
599692,93860
2073236,2144444
1935104,98508
2759145,2139102
1925344,94837
1946802,93440
1925338,93987
2194278,1086902
1918873,1086981
1927203,104280
284206,1090512
2791150,101023
2268672,89737
283163,952003
1920564,1726412
600023,99670
2065598,2130404
1915441,95602
369851,97018
283166,95908
1924844,95632
2110322,99670
599604,94239
1915216,952261
2076687,95237
2117936,100378
2117640,104295
2115354,107684
356530,1089463
362537,95742
1933504,100422
285027,98410
2119179,2031061
2121327,954936
600124,1089463
584289,95276
1917096,97486
2794299,100182
367542,98405
1922905,957973
372123,105083
2123835,108294
1923777,97710
379374,96719
2056644,102727
1941970,104472
2103067,97997
1925621,113011
1915872,958661
1913185,1091543
2051817,97049
1925040,100006
1939937,949397
2051832,105040
2052164,98431
1920339,100432
1950414,99321
1950332,952979
2065904,96936
2077205,93696
2089724,102025
2089616,104666
2069144,2019989
1924802,100606
1938091,1088187
2065101,953331
2053517,2012734
2055690,2025648
2104356,99346
2056480,101954
2065174,1091741
2051691,103740
2087623,952080
2105928,93215
2074669,1089593
1942011,97756
1932389,1088644
1947596,91319
1933032,100399
2074656,1089430
1925074,100046
1923279,100890
2053742,98983
1923233,952574
1941175,103246
1920190,103716
1935434,102504
1940081,101273
1923268,105545
366923,958157
2068289,101353
1923272,104165
1917095,104232
1932003,104752
2251839,952423
1933467,952981
1919097,1091972
1923275,951742
1918792,100276
2055631,99179
1933475,952986
1918780,97778
1933491,952981
1931851,96575
2053703,952492
1933462,952989
1933501,952997
1916100,100226
1916320,952600
2084882,99630
2260395,100276
2773174,97193
2383228,951748
2071535,1090769
1942004,105174
1913066,98695
374861,105335
2052862,104810
1946299,93020
365138,94755
1950691,104024
1924836,101702
1924846,101956
1943333,100091
1932222,101686
2202125,95862
1949828,100047
2272559,102966
2120226,1952591
2051973,2685888
2052022,105270
1951486,97329
2079332,102697
2055429,953187
1924835,101868
1943318,103723
1918951,97480
1950796,953514
2124682,98762
2273927,1088099
2273951,96027
1951112,2159259
1950699,96414
1949658,102285
1949020,104245
2051236,2026632
2197671,97055
2202142,952447
1950683,99486
2274027,92545
1925580,101188
1931971,99649
1939165,952230
1943329,103906
2052556,951771
1923778,102714
2066152,952836
1917119,95617
2065028,97181
1932005,98825
1939181,95486
2052657,101409
2052577,101412
1934743,97408
2779975,2682212
1925669,103813
2066457,2008260
1951072,102355
2196335,2159825
363498,103648
2196630,1087011
363730,97073
363731,105877
2274441,1090755
1952244,959570
2051305,103196
2077916,98184
2258136,2683614
1933495,952981
1940090,953642
1931853,97755
1926789,96574
2268516,2682556
2055689,952781
2268546,2683571
2268569,96660
2051098,94050
2272522,105245
2774599,1092019
1914598,99312
366963,2037287
376471,101905
2260433,2044918
2115129,98095
368383,105514
368420,105809
285154,110241
1915026,96493
1922733,98837
2092688,109866
2052559,101413
2052579,96861
1938542,97951
1925715,104627
370849,102278
2066680,95253
370840,98059
1937834,2045767
372527,104770
372783,98305
1950589,105545
373208,103507
1938528,98860
1912199,98184
2194662,2137883
2194388,1086901
284693,99326
599945,950113
2112177,100299
2774634,1090869
2089967,97117
2202146,2026629
1946814,2028196
2380649,2137852
1915741,1088580
366920,949072
362608,1088580
2089746,103543
2062845,112265
2089703,103927
2089830,104724
2074298,106355
2055546,96977
2118972,954830
1922244,95022
2089610,952464
1947089,955038
2074655,1089439
1925361,103879
1949962,102869
1916815,98167
2385039,103879
2212241,949244
1923251,952398
1923273,952736
283230,98479
1916006,953773
2122358,1087555
1948048,93605
1944766,95049
1922237,95110
2380809,89612
1922253,95373
1922208,95104
2052057,2683693
1922249,94845
1925533,94883
1926490,954201
1926489,95293
1914906,94551
2755087,2139114
1934531,93369
1925964,1858046
1946493,1088987
1946805,93767
1933537,93936
2258399,954228
2066677,954377
1916698,1703511
1946022,95277
1922258,94848
2257936,1089000
1946976,99451
2380678,1091816
2218018,98110
2198047,104851
1935317,113874
2110843,105082
2067076,951715
2091005,100251
1926798,1089606
374958,1086901
2194477,1720958
284732,949796
1949961,96576
2052613,98521
2194642,95030
1943396,103865
2052672,952983
2084919,96528
2089001,94198
1920169,952586
2753697,96740
1949968,1086970
2053186,103986
2110168,1086388
2258599,953590
2051267,2682604
1926204,99743
1926195,99684
1919214,1090530
1919215,1090536
1915231,952288
1915217,2145224
2126968,107226
584362,106062
2682874,103608
2682907,96384
2121408,952662
1918924,952431
1932304,1088556
2049833,950958
2775086,98478
1916866,109109
1947739,97624
1947720,107315
2775116,958604
1935272,110994
2384776,105095
2274136,2685667
2194811,2682354
1927187,97800
2064747,950453
1945933,108376
1926438,948559
1932324,1163165
2194813,2685406
2194769,2685671
2201578,2685404
2274141,2685665
2682076,949606
2386056,951168
2049744,108329
1927472,2034550
1932339,1163162
1935312,108092
1944886,99152
1924345,103628
1942754,949058
599707,106123
2386564,96495
2386644,102687
1939333,111089
1939332,111089
1939331,111089
1926305,97662
2051294,1091783
2055664,103196
374317,98443
2052437,953930
2055535,953163
2258488,2025365
2073989,949613
1914592,100451
2063589,949278
1947175,102357
2387084,98490
2387183,98487
2066672,93473
1925156,1090338
1937529,1091941
1925562,94486
1924947,952810
1924945,952869
2053748,96764
2119288,98450
1916706,1703512
1927585,2011571
1915635,95173
2051427,103617
1915027,96596
1923971,2037287
2055411,2026631
2055408,2026632
2058583,108424
1938673,108022
1921578,1719493
2387405,103786
1915477,953067
2050276,1163162
2077366,953143
1932265,949288
1932256,949945
2077683,1087367
2194808,113899
2070351,2128539
1935307,948394
1940089,953653
1916854,2685455
2274139,2685666
2273266,93548
2118761,96750
1948585,115456
2748480,2139109
2671254,2682300
2387835,102922
1924849,106006
2054438,103495
2753763,93067
1945496,98907
2091690,949945
284019,952435
1931735,103554
2083591,103510
367540,101558
370013,102010
2194749,2685670
363540,101749
1922775,949828
1943350,104705
283996,96137
284056,96999
283574,97059
1925001,101558
1926770,96552
2052503,95907
363510,97538
2051253,104265
283265,952680
2382900,108298
1921265,101524
1931975,102891
2066228,2024957
1941986,103066
2070827,1089980
379277,100321
2089822,104836
2269087,952446
1923224,104165
284235,104246
2082174,104363
2065970,96055
284619,98356
2082984,99816
1924814,104060
2052511,103922
283550,953930
2065555,101273
1923789,103108
284428,104828
2054704,104908
1945573,105650
2052542,952978
2052508,952988
2194075,953849
2052489,953128
2052593,101411
1941767,953930
2068905,100524
1941973,103234
2780393,2682214
1948510,2041564
2106014,1089463
2082695,952449
2105976,952446
283359,1084076
1918785,95560
2067397,99321
1943212,103694
1931724,101791
1914585,1089981
2087128,97416
283090,104991
283940,96738
2082878,103674
2089634,104666
2067935,103855
1912835,103510
1939834,102962
379313,105976
2082717,952447
600342,97113
2089645,98131
2082342,1088900
2082347,1088898
2082710,97055
2080900,92470
2080697,88188
584349,99541
1924838,96371
600010,99541
1923284,952587
2383432,113637
2065023,104028
1912943,105121
1925115,100319
2111121,952040
369627,105424
2052582,97108
1920955,103473
283833,95849
1945500,953839
1941280,114459
1916438,105512
1915381,103323
2052453,100321
1942022,104517
379326,952979
1925111,951867
284712,103370
362397,99685
1919314,1090622
1919294,97065
2778244,101009
2082388,99204
1918236,1086273
284807,102318
600305,1090634
2082852,954936
2386959,1720970
2055759,1089599
2258121,2682329
370195,100073
1951174,102608
1925116,100319
283167,95726
2387500,954793
1916440,97380
2082391,99205
283144,96489
379252,102594
379325,952982
1920855,96503
370742,98897
2090881,98769
2090922,100416
2091043,98563
2194801,2685672
2080160,949055
2080020,949236
2080062,112426
2252657,113506
2080164,114498
2196961,2683987
2196957,97126
2196958,1091524
2196959,1091808
2132483,2026631
2055648,2011433
2198059,104505
2121091,1088859
2384725,113153
2383574,2012602
2068200,1100247
283341,104416
1920791,952202
2382554,98001
600034,952446
2078510,96607
1933709,104924
1947712,96339
2078860,99346
2392374,96339
1942459,104945
1947178,99463
362437,112429
2194919,2682365
2203111,2685664
369468,107145
1915724,1088584
584413,2685664
2203107,2685664
371011,1867012
1948159,107942
2778589,95458
362164,2012602
1927175,105228
376336,953488
2050856,106150
2778623,2683642
1940104,102275
284966,103539
1935321,113921
2194748,2685668
2194816,2682352
2194782,2682358
2194818,2682351
1932260,951153
1933710,98577
1918517,1725338
2757956,96899
1945501,953834
2050406,1891248
2055013,1087347
284635,105054
2194068,1087043
1917113,958110
2052652,101408
1925080,100375
379198,104812
2052678,952984
1941763,98523
2052573,98523
599643,101687
364711,1866123
1942951,95976
2073182,100419
2202814,96528
2117433,94925
1916340,98007
2091027,100267
1943133,102063
2200256,2009189
2753644,103723
2273988,104901
1923282,1091952
368606,103261
2051416,103071
1928386,105181
2065377,1087717
2194089,100322
2078020,952978
1928382,98508
2387566,97231
2392713,102889
1946013,95084
2383643,951685
1937844,93434
1946576,101280
2268102,95228
2252110,97520
1925972,1858045
2758892,2139103
1947914,94238
1927579,95095
2380733,96956
1922197,93636
2196694,2136673
2067139,1092015
2772162,103961
2273318,1163178
1920306,94623
1941097,102871
1932994,102071
2203993,2682313
1917955,952902
2068320,98092
1935028,105756
2066290,101016
1944933,99597
1918222,99455
1935435,97883
2200507,103726
1944943,2683896
1938135,97996
1941161,102871
1923276,104131
2110279,98097
2093914,98034
1913541,958515
1925664,98280
2753772,93053
1938133,97988
2051039,104485
2052113,98430
2051467,953211
2065992,952003
2051838,2683841
1946807,94236
1917941,952971
1931816,100206
2066199,94494
2089828,2156675
1917368,1083197
1915809,91410
2071666,102779
1922242,95034
2052007,103826
2113089,107014
364641,111299
2058574,108426
2778983,1090059
2055688,2025650
2055668,2025651
2386011,111089
2380750,1090001
2085892,112870
2685727,2683965
2204668,109372
2385530,100890
2194746,2685669
2773295,954311
2067297,104078
2678657,96839
2679155,107226
2054658,103217
2067293,95704
2673270,1083173
2127196,96503
2773179,96839
2257800,1883971
2197673,104393
2200152,105541
2208066,110592
2775129,1089016
2386596,105264
2386661,951709
2067776,99240
2127499,105799
2067945,104594
2067198,96852
2196955,96627
2682914,96839
2269508,1091489
2753696,953926
2066172,104965
2759199,949945
2780378,2683906
2111971,93802
2200128,2683812
2258452,1089996
2220011,1090005
2755085,2139113
2387149,100389
2049599,107393
2385962,108284
2392031,114037
2392026,949887
2194061,103046
2755028,2682248
2113621,103495
2196351,1089978
2223465,97737
2230879,109167
2065944,101039
356579,952199
2202781,95697
2229670,112079
2111278,99776
2204116,104553
2252593,112953
1924832,95921
1941974,103234
2074802,2684409
2219690,1703494
2131644,1867857
2131646,2683976
2052669,953003
2119497,99813
2131409,1087555
2122577,953655
2131986,954892
2131168,96875
2131718,95280
2120230,952674
1922915,94640
2132415,1090965
1921654,101879
1918226,105432
379083,101447
363601,101606
283272,98652
2051281,958116
2074578,952251
283554,95666
1925742,952494
1920322,2682324
1948519,2045632
1948523,2683759
1923896,104744
1914571,103220
1939235,1865643
2055595,96977
1942461,95697
2194037,2682562
2077925,2021672
1946601,1725323
2076766,2044918
2198099,2682326
2066038,2682508
2198100,2683769
2198096,2682323
2268096,2683828
2262902,2682311
1939242,1865642
2772537,97618
2772538,105788
2054470,953163
1920342,100090
1915028,101953
1918224,1086273
1948521,100671
1920344,957310
1948506,951921
1915077,102575
1920340,104246
1920338,2683769
362431,952569
1921449,96450
2051319,98110
2051331,1091205
1948524,2041561
1920343,953536
285001,952003
1948522,2042089
2103136,2683629
600406,952446
1918223,2683679
2678821,953164
2051293,100608
1946599,952245
1946597,951976
1915025,96493
2051612,98426
2065416,953266
361682,950531
2089911,99816
2080935,99205
2086325,95052
1939797,100692
1943580,103737
1941977,105170
1912356,102903
1912832,1090384
2089396,97740
1913582,952674
1921320,98448
2071495,101888
1931995,104607
1915178,100431
1941919,1089576
2115302,97117
2055950,1090422
2392553,98648
1939209,98467
2387044,102714
2258027,2682227
366447,95519
2671311,98490
1915180,100433
2110841,102678
1931977,102891
2066132,952834
1941202,105660
1931990,100265
1931985,99998
1923772,98648
1942001,96192
1915385,102727
1942035,103741
1931984,99999
1931986,100000
1933457,103474
1943132,98645
1931981,99633
1923802,1089598
2387199,98490
1924803,100657
2070823,958500
1925104,100299
2052534,101414
2103255,1091076
2052463,1090059
1924813,97033
2052529,101407
1952287,101410
1950125,102444
2074945,97076
1941754,98521
1941774,104907
1945984,100631
2094472,98473
1925086,100322
2052502,103816
2068911,1089605
379302,100375
2055939,98487
356539,98488
2052533,104210
2052691,952987
2052621,100263
2196943,2683987
1941773,98521
600338,1089570
2052627,97758
2055991,98478
2052518,956833
2071132,98475
2755040,98478
1945912,105780
1923786,1859119
1949963,102869
2070261,1703514
369882,1083417
2194110,2683802
2220140,94525
2260474,98410
1926732,95270
2077833,93859
2203769,952530
2680588,1092029
2090876,97662
1925339,94282
2755084,2139117
283339,104485
2383576,97800
2054701,99657
2387671,1087315
1925387,1086976
2220076,952970
2220077,105643
1927265,99727
1912449,2682251
1915229,952300
1923466,1092037
1927229,105248
2107147,98096
2051928,1086258
2115163,98095
2068684,95459
2054850,104305
2094161,96355
2392924,102922
1925094,100569
1925675,96732
1941612,99931
1944931,99669
1944929,99584
1949770,104202
2052051,952652
1944939,96937
2054443,95548
1941178,104538
1935431,96012
2070102,954348
284631,102875
1923763,97701
1937594,1086204
1941179,102708
1943205,99075
284843,97922
1931860,103129
2052603,102228
2052622,103911
374218,98469
1923249,953947
1923769,97701
2197698,958088
2383521,2682248
2066469,100732
1939191,100072
2199192,953143
2087418,100937
1912824,1090633
2070631,953162
2196791,1719498
1923768,958162
2196678,1086918
2051885,951909
361434,953212
2071697,953202
1949831,1854370
2062643,2685466
2195221,112226
2052101,2685887
1944932,99586
2200705,94604
1937854,2125185
1924840,96775
2068802,2682557
2194103,101162
2052132,102800
2065662,98350
2068875,102455
1918917,952717
2065663,99269
1925685,104632
1946806,93768
1918787,104523
1913070,100427
1919321,1090620
2196873,93576
1920298,953972
1947022,93830
1913068,98693
2054746,97771
2067400,97151
2054739,104730
2111987,92242
1925346,105498
1921528,953722
1933493,100468
1943135,98644
1939146,101011
1918794,100301
1923757,95519
1918793,100232
1933484,952989
2258069,1089488
2274019,92029
2068251,96259
1939605,95551
1923534,92781
2068264,106000
1918363,952823
1943395,103141
1947181,104620
1924341,101353
1945490,98901
2053695,953545
1915799,958666
2052699,91330
2052659,1083238
2077121,93881
1925036,100081
2202218,94965
2076827,2683842
1947358,954350
283420,1090649
1915024,100184
2260817,2684174
363525,104022
1938134,953344
2386742,96335
2073159,100456
1946554,1090852
1927252,101587
2052661,97090
2052668,103705
2052507,100282
2052513,97132
1931974,103655
1924810,102155
363851,102701
2066470,101454
1924805,102162
2273783,95617
1923804,97702
1941772,99496
1923791,953864
1913537,105041
600044,953856
1925087,100326
2051328,98487
2671298,100362
1942002,952521
1941768,953930
1941753,952946
2052561,101415
2065380,95617
600358,98490
1942015,951811
2052523,958167
2052497,958168
2052683,952226
1916435,952306
2105343,96164
362202,105104
373749,95838
363871,953472
370920,97472
364916,97409
374030,95907
2110317,952652
2110339,2682556
2110356,95758
1912982,105073
1912983,105070
1913222,101610
1915720,950552
1917568,953472
2080637,112746
1920321,2682324
1935440,1868789
2111994,102841
2671205,952953
1923532,91884
2112095,93861
1925101,100325
1927199,1726441
2119377,93162
1928156,1088922
1916314,951917
2115252,100651
1931848,96586
2116450,100378
361660,950552
2117112,1170904
2117445,103806
1939149,952266
2119121,951187
2119182,2031061
2118711,97655
2119575,97039
1944709,2683590
2120208,953918
2120232,952674
2120601,104028
1949959,102869
2121336,93272
1951908,104393
379314,97096
2123121,94826
2197717,101586
1946293,1087568
2671207,2683888
2671275,98490
2070830,958496
2066486,951742
2671349,1953524
2259155,1873560
2385718,100541
2673181,1090445
2118767,2683621
2051306,953830
2258495,94456
2671352,1089596
2055719,100232
2065175,1091739
2127500,103158
2078775,953686
2392389,105176
2091032,1083338
2055549,98652
2068136,93971
2068186,93827
372403,100139
2070629,1090066
2111127,96629
2117431,1872700
2071919,104024
2197712,101585
2202037,2683639
2272406,93944
2197753,93770
2077863,95105
2671062,106116
379067,952446
2083197,952981
2071133,1087811
2747751,98648
2270604,951669
2270605,951667
2393269,951742
2116017,93563
2104737,100276
2094192,1089643
2124812,1092034
2113571,93653
2104678,105746
2196894,1088987
2110084,113751
2089801,98665
2112557,101408
2111642,952464
2119340,105372
2116426,953144
2119321,104022
2119748,109866
2122283,98266
2088928,951680
2112447,949072
2067515,93535
2383825,98618
2393301,2684409
2393246,2682215
379345,100263
283589,94590
2204126,108424
2198091,2682306
379358,105152
2194094,951780
584315,99551
361539,2136667
371999,105083
2053250,1087274
2074951,101376
2074933,105707
2076930,1087112
2089945,100563
364873,95687
366379,106126
371833,1092149
374816,104659
379084,1090433
2071934,103307
1917289,112226
1946556,952030
2052504,2020675
379218,100678
379310,958592
386076,97125
600460,104563
2113114,109780
2121407,100070
374135,104218
2056459,105409
2115269,1091940
362301,1891248
368142,103864
2387075,952465
371993,104210
374036,104695
375918,98341
379203,952077
584504,108284
372418,100919
2054742,1091809
2068667,92499
2269610,952133
2116074,952674
2119500,105737
2119574,101159
2258025,101216
371829,95677
374035,104364
2218378,97586
2202776,105097
2065777,102375
1932390,1088621
2271643,948557
2218379,103761
2116066,1090631
2055394,1089630
2273960,101215
2086621,108302
2093488,952027
2105557,97736
284415,102451
364401,97409
375871,104393
2124328,114739
2059590,96339
2069157,1089349
2090051,2035752
2103141,101483
2111622,1910632
2113550,1170883
2089643,105301
2082705,96808
362364,112437
2272621,2684614
363801,102064
370947,104523
584540,114125
599736,1086970
2201648,104405
1932630,1847175
2087105,92903
2092894,101548
2104808,951502
2116225,113390
2194070,105371
364186,2683665
366052,112926
366843,957284
2200366,97219
2105320,93186
1920569,97326
1924319,105109
2052434,101413
2073884,108095
2107194,1090235
2115063,2034550
2118802,1090509
2089608,97113
2118364,958158
370073,99505
371665,101408
365694,109919
373340,102209
600336,94956
2113909,1854368
2092758,953123
2383731,1088580
2671348,952611
2053285,2012706
2055118,1892276
2258397,93594
2673122,1089234
2671347,952613
2078719,1100470
2258502,94022
2089402,100565
2092892,101552
2092893,101550
2117273,1090755
2118782,103236
2120237,98105
2204072,957284
379366,103333
600122,1146372
2674297,95754
2071317,1088180
2080929,1864960
2114548,108534
2119659,97719
361927,1088580
375231,104851
1915400,93859
1920318,100090
1938670,112872
2052663,2137853
2065176,1091741
2110746,113751
2115355,107684
2116987,108375
373366,1090066
379363,101415
600288,99670
1925061,96047
2053259,2012732
2053288,2015010
2077859,1088989
2111129,2685895
2117957,101380
2121524,956794
2131762,950361
361570,950552
367002,97067
599966,95948
373027,102455
284269,1850107
1913175,101417
1918774,94477
1932295,1088611
1932394,1088643
1951911,104695
2069174,1089318
2094190,1090737
2124172,103879
361954,1086231
362967,1088580
363405,113513
379327,952982
584562,114125
600430,101791
957912,102962
1917323,112228
2053521,2014956
2070508,2028446
2081693,1090416
2092888,953950
283625,954210
362742,100221
383399,101316
1920171,2683598
2064697,109780
2074670,96006
2074918,958517
2077437,1087128
2103176,1090066
2115232,101159
2119370,97408
284410,92905
356479,101974
362124,111213
368589,1089632
375933,1089455
1910850,950385
1911261,95907
1920326,102770
1941692,92768
2056441,103457
2093670,97336
2123117,96216
373679,1884037
375551,96493
379217,2029570
599888,952464
600199,103094
600313,2031061
1946300,92376
2053340,1087361
2077891,954708
2105977,952447
2107223,1094250
2122230,104253
362764,102875
363934,1087575
365373,95676
366383,98684
369077,105129
375316,102375
584433,104325
599925,106123
1925113,959549
1944909,1086217
2070726,103334
2074932,102594
2094055,958136
2113915,97313
2115351,114417
2116444,104621
372006,952655
379338,97758
600202,103094
1931982,958184
1932570,101603
1948503,958602
2069269,97632
2091693,109866
2092731,955631
2117222,954390
2120216,104607
2120783,952676
2124191,102998
2124670,1088856
2127671,1087115
2132440,948489
302117,92679
369667,98170
371537,104899
374894,948842
376257,1087011
1923246,104165
2071464,96843
2103963,113244
2110736,1088584
2111973,1895475
2115237,2029571
362297,950552
362824,950531
366488,103521
372115,1726383
379267,103087
379463,95458
584368,114125
599968,101410
1911079,99176
1917945,1091752
1932331,1088557
2053345,2012719
2116323,105920
2117851,949050
2119940,98275
2120941,97532
371796,101454
379347,105710
584420,100416
584443,948084
1915395,94086
1932628,1847176
1947021,94655
2068703,92540
2104721,958601
2113137,957310
2116053,1087810
2117287,93520
2120160,97328
361530,98546
362776,952261
369067,96139
374543,952261
374917,102375
375841,95525
1932336,1163159
1932627,1847177
1948626,953874
2065810,103385
2077966,1858041
2110859,2048697
2111276,958117
2114077,958158
2118399,952983
284404,105850
373881,97039
374626,100432
379308,103301
1932364,1088646
2051995,1086218
2052675,2020672
2065170,1091739
2076953,2012716
2084662,2683979
2087939,952979
2091641,948833
2110122,1088584
2113181,952284
2114767,1864035
2120316,951437
362757,104899
366523,102135
374954,103864
1919698,954041
1951910,104851
2078122,94913
2092887,101549
2116038,956424
363058,96626
379296,101292
599693,97285
1920269,100324
1921640,955171
1923267,105545
2052473,2020674
2068137,94883
2115241,100080
2117900,1086389
379125,103094
600404,949069
1915891,103845
1932528,2683603
2052309,1087352
2053314,2015007
2065771,95864
2103033,1083185
2110365,1089978
2115235,1089486
2121663,108026
2124683,1725666
283145,92061
361542,1091805
365895,95676
369427,105116
600204,103094
1924162,1087550
1951821,1094404
2059591,96339
2074666,101930
2091026,100280
2120618,102392
2122451,1090059
2123700,108415
356509,104491
361858,93114
361928,1088580
366398,102962
379340,102071
